msno,song_id,source_system_tab,source_screen_name,source_type,target
uHqAtShXTRXju5GE8ri3ITsVFepPf8jUoCF7ffNOuqE=,t0aT90DlS1TGncgnKoL0SvfAWEr3Dl72QBVcokmKfLc=,my library,Local playlist more,local-library,1
NIZwJnYKcy8vxFO3WOx2tmPynmhvNn9k19mk2nNsPL4=,t0aT90DlS1TGncgnKoL0SvfAWEr3Dl72QBVcokmKfLc=,my library,Local playlist more,local-playlist,0
uHqAtShXTRXju5GE8ri3ITsVFepPf8jUoCF7ffNOuqE=,t0aT90DlS1TGncgnKoL0SvfAWEr3Dl72QBVcokmKfLc=,my library,Local playlist more,local-library,1
TJU0Gfvy7FB+r89bWovPKXTjuApTCiv3xg/tt5shR78=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,My library,local-playlist,1
8ehTcq2hI/iwZwJmRJqgPrLqmEPDGI4WaB/JiG2R/b0=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
crp0szJL0Gv4e92ODI46bvH9ZHcJ2wBHlUOCW5jc6oU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Album more,album,0
UjuPJCQo/YoGVR/yJ+CocmWUk2czJE0BBKqaPpVYV64=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
Wr1nXgbn/woZvQ6Ndcff9w9baMhO2hMHxNYM/FYlq2A=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
2woyI14N7gys31+vHtQBMarOGSlAzs4Pr920FtOxCnE=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Search,online-playlist,0
gxFgAVxtyeu6rDqIKm+yJuJ2+U4uLNn5RUHg8Vrl8B0=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
68pVYdtW3mGbwG6LPCKMeRYxa74QOQYwLi4p4PFk8s0=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,search,Search Home,online-playlist,1
RQdli0P/sn0ckDTNuAA2sOixeI1Ffp/s+ANzRopVtLk=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
DBWHCsMOBfGP3PAV4GNCFDzfp5Li7nj6M9+GLqSA71c=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Feature,online-playlist,0
P+Sxa9gtP8P8IQcpPGbwWmEFdrF16hTrtfXyfa5aGoI=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
otEYbOB3q/EhmhOQ/Dfk87pvwg+pTSHmC0Q9DRhOTPs=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,explore,Album more,album,0
EUsflM6CowB2PHX8N8SGPZeq5v5oNBCyyiiGBAFgwK0=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
I9JgbVzy7BKtDpffFWXrFQwh75o/Im8+7yCi3b7b0yU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
gWVBUoZDQBhJv7/8a05bJ8FDVLN9loEKlF161oaC4PY=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,0
hjjRqTlC2rTy6BUuUe5yd9xz+14j9MqKC1igW6Bhx30=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
KWKn5GsNPD2r3aPaUbcGEzETTwXFXVRton0DhCI3Sp4=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
MpV5xGXHOX6dVPNPujJ+vS/9Luz0p8XaMqFCB0K8dQk=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
Y4FvDsosFNoz4ZHIAbuwgUBSFK8qY2oE5p7V8wymc/Q=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Chart,online-playlist,0
3TZaybijIyaqU3P+moI/mzFWcAj6aR0p7bmxLT9iRq8=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,null,,online-playlist,1
tDQInCseeuLq31wmV1g2EQektP0419GI39lYcIqoVlg=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
EOlbX3GsW3ObXy/9ykwK2RQqHK6vDQWmv+BtQ8efMrk=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
BNSYbtaNNCYfKVig95LpQJArTEx/RN2FgivSohB8r8M=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
NghJecR1HSl4tnAXyWarmO+l98VWWx3N5sKAlpHWBXA=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,explore,Online playlist more,online-playlist,1
RjQ7YzXDS8oNUTdQDHaBx3ONX+847iOdaAIJp1D9ga4=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Album more,album,0
dh9DZ+d4UAOLmk/wRTRPktsKPfTo4R8vkAxIoOm66jA=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,search,Album more,album,1
